TICID,Camera,CCD,Tmag,RA,Dec,sector,count
23668016,2,2,5.35,217.1327,-10.0044,91,1
99389357,3,2,5.35,317.1402,-21.1941,92,1
46039120,2,1,5.36,214.2658,-18.5858,91,1
429184986,2,2,5.36,307.7677,-15.0565,92,1
357492663,1,1,5.37,200.5267,-14.4202,91,1
76155888,4,1,5.37,260.4649,-20.5694,91,1
386831066,2,2,5.39,221.9793,-12.8407,91,1
73852746,3,2,5.39,233.1528,-19.6707,91,1
411274672,2,2,5.39,309.818,-14.9549,92,1
466492375,2,2,5.39,220.1341,-14.0468,91,1
333075857,3,4,5.4,324.3333,-11.4608,92,1
49432239,3,4,5.4,243.6628,-18.5365,91,1
235027603,1,3,5.42,264.6866,-21.9128,92,1
415652414,3,2,5.42,316.6725,-20.1804,92,1
102178354,3,3,5.42,330.5503,-17.9039,92,1
439080155,2,3,5.43,293.3348,-16.6103,92,1
6030718,2,3,5.43,214.2029,-8.8846,91,1
32448539,1,4,5.44,189.8794,-6.1006,91,1
385428155,2,4,5.44,211.1122,-14.9718,91,1
577858,1,2,5.44,279.2796,-19.2094,92,1
147755337,2,3,5.45,213.4214,-0.8464,91,1
70860725,3,2,5.46,236.4287,-22.7534,91,1
414226748,1,2,5.46,285.3896,-15.2826,92,1
410634051,3,1,5.46,239.6111,-13.443,91,1
145295189,4,1,5.46,256.1388,-11.0886,91,1
90200486,1,1,5.46,283.118,-26.6512,92,1
8647435,2,1,5.47,308.5315,-23.2497,92,1
414768902,1,2,5.47,284.8616,-18.5666,92,1
187796346,2,3,5.47,287.0696,-19.2903,92,1
425257218,1,2,5.47,280.3328,-17.0743,92,1
131392570,2,3,5.48,290.1327,-17.0444,92,1
220679975,3,1,5.48,238.906,-18.7912,91,1
49549335,3,1,5.49,240.1984,-8.4115,91,1
162137990,3,4,5.49,249.6447,-18.8258,91,1
77390459,3,3,5.5,238.875,-26.2662,91,1
335184413,3,1,5.5,231.924,-14.9543,91,1
47868508,2,3,5.5,297.1413,-16.1638,92,1
13991785,2,2,5.5,302.1219,-15.0329,92,1
102081548,3,3,5.5,329.0318,-14.0356,92,1
273113256,1,2,5.51,286.2659,-20.9476,92,1
52444862,3,4,5.51,243.2965,-15.1171,91,1
434520020,4,1,5.51,254.0083,-16.8061,91,1
77676815,3,3,5.51,239.6452,-24.8317,91,1
192659538,2,2,5.52,225.1321,-11.8743,91,1
439364873,3,2,5.52,319.4888,-17.9851,92,1
425631720,1,2,5.53,280.5424,-17.0111,92,1
325862858,2,4,5.53,294.0069,-24.7193,92,1
429133679,2,2,5.54,307.1817,-15.7415,92,1
187064019,3,1,5.54,321.3044,-9.7497,92,1
429344309,1,4,5.55,188.4442,-9.4521,91,1
335910756,2,1,5.55,224.5216,-17.3642,91,1
744082,2,4,5.55,205.3446,-10.4524,91,1
6039332,2,3,5.55,214.3442,-9.0228,91,1
413933423,3,4,5.55,247.3574,-13.5703,91,1
262017471,3,1,5.56,313.1296,-13.2029,92,1
243860516,4,4,5.56,273.8662,-18.9249,91,1
19967999,2,3,5.57,212.2524,-10.3344,91,1
414156815,3,4,5.57,248.3732,-14.1658,91,1
428790951,2,1,5.58,213.85,-18.2008,91,1
70757507,3,2,5.58,234.6856,-23.0496,91,1
75188624,4,1,5.58,259.8741,-18.9554,91,1
205916450,3,3,5.58,250.4066,-27.81,91,1
198050534,4,1,5.59,254.4725,-19.7918,91,1
301707812,2,1,5.6,302.4733,-25.5967,92,1
429135159,2,2,5.6,307.2532,-17.8762,92,1
224041421,1,2,5.61,282.1892,-18.6012,92,1
122150505,2,3,5.61,292.5397,-19.3857,92,1
432248488,3,1,5.61,227.9582,-16.1597,91,1
434603987,4,1,5.61,254.5396,-14.3725,91,1
617248,1,2,5.61,203.2503,-7.1947,91,1
26044058,2,2,5.61,220.8578,-9.7,91,1
429251484,2,2,5.62,308.5492,-13.7206,92,1
333393998,3,4,5.62,326.6339,-11.366,92,1
187070303,1,2,5.62,278.1215,-18.9727,92,1
379564280,4,3,5.62,274.2395,-27.7167,91,1
19967580,2,3,5.62,212.157,-8.8619,91,1
441846716,1,2,5.62,283.2772,-18.637,92,1
286243268,2,4,5.62,207.5868,-13.1103,91,1
411213368,2,2,5.63,309.3388,-15.1477,92,1
433048343,1,2,5.63,278.2585,-16.5602,92,1
22267910,4,2,5.64,256.6411,-23.9048,91,1
155745933,3,3,5.64,325.7683,-14.3996,92,1
441028272,3,2,5.64,324.2444,-18.7441,92,1
241931754,2,3,5.65,297.8995,-19.2112,92,1
297310042,3,1,5.66,233.23,-16.8529,91,1
161522892,2,2,5.66,300.4944,-13.6371,92,1
12534678,2,3,5.66,290.668,-20.6436,92,1
2709820,2,3,5.66,210.0193,-8.162,91,1
77116701,2,1,5.66,313.2555,-23.7836,92,1
13735351,2,2,5.67,301.3406,-16.3735,92,1
386858986,2,2,5.67,222.3289,-14.1491,91,1
119262615,2,4,5.67,291.4308,-22.452,92,1
75902903,4,1,5.67,260.3428,-21.5569,91,1
437353173,2,1,5.68,225.3788,-18.8032,91,1
272382956,4,2,5.68,251.7139,-25.5287,91,1
707326,2,4,5.68,204.6722,-11.4753,91,1
153163607,1,1,5.68,279.9634,-28.6556,92,1
209186647,2,4,5.68,299.0452,-28.0403,92,1
123472077,2,3,5.69,292.9275,-19.3866,92,1
214654879,3,1,5.69,318.9985,-13.2032,92,1
23966006,3,1,5.7,313.5127,-10.9244,92,1
352982283,1,2,5.7,284.1852,-17.4441,92,1
188401533,2,1,5.7,310.0528,-23.7706,92,1
287157635,2,1,5.7,224.3683,-21.4231,91,1
442532188,3,1,5.71,315.6084,-12.4473,92,1
290136609,2,2,5.71,220.5095,-12.2349,91,1
5245606,1,2,5.71,281.2875,-20.4605,92,1
186635515,1,2,5.72,277.9722,-19.1251,92,1
434549018,4,1,5.72,254.17,-15.9441,91,1
335990361,3,1,5.72,237.1041,-13.4993,91,1
410994457,3,4,5.72,241.7621,-14.0712,91,1
66926633,3,3,5.72,240.2837,-24.2666,91,1
432213379,2,2,5.73,226.856,-14.679,91,1
347978629,3,1,5.73,234.6208,-14.5175,91,1
399538525,4,1,5.73,256.9406,-16.0929,91,1
415689134,3,2,5.73,319.6087,-20.3357,92,1
442508593,3,1,5.73,314.6739,-14.4833,92,1
23375725,3,2,5.73,236.4434,-25.4956,91,1
2288734,2,4,5.74,288.8894,-24.1801,92,1
308437152,3,1,5.74,230.2559,-15.5481,91,1
13991337,2,2,5.74,302.2064,-15.4121,92,1
442481598,3,1,5.75,314.4197,-16.0315,92,1
157940833,2,2,5.75,219.2427,-12.3028,91,1
12515279,3,4,5.75,252.1123,-14.9095,91,1
47538102,2,3,5.75,296.6337,-16.2094,92,1
411034621,3,4,5.75,241.9014,-12.7456,91,1
340346347,1,2,5.75,283.4525,-19.7973,92,1
290108128,2,4,5.75,206.2861,-14.767,91,1
287211169,2,1,5.76,224.6469,-19.7261,91,1
155772218,3,3,5.76,326.0038,-14.7493,92,1
256843512,2,2,5.76,310.026,-14.0132,92,1
155157963,1,1,5.76,281.2067,-25.0111,92,1
336244468,1,2,5.76,285.1504,-19.6583,92,1
441043903,3,2,5.76,325.1449,-18.8957,92,1
1283179,1,1,5.76,279.6106,-23.1031,92,1
